TRIALNO,COST_WEIGHT,RISK_WEIGHT,DISTANCE_WEIGHT,SPEED_WEIGHT,POP_WEIGHT,HEU_WEIGHT,TOTAL_POP,ROAD_DEATH_PROB,
522,1.50,0.20,0.10,0.10,0.10,0.000000052,1000,0.00,
4192,1.60,1.90,0.10,0.10,0.10,0.000000052,1000,0.00,
532,1.50,0.30,0.10,0.10,0.10,0.000000052,1000,0.00,
521,1.50,0.20,0.10,0.10,0.10,0.000000052,1000,0.00,
531,1.50,0.30,0.10,0.10,0.10,0.000000052,1000,0.00,
512,1.50,0.10,0.10,0.10,0.10,0.000000052,1000,0.00,
542,1.50,0.40,0.10,0.10,0.10,0.000000052,1000,0.00,
502,1.50,0.00,0.10,0.10,0.10,0.000000052,1000,0.00,
562,1.50,0.60,0.10,0.10,0.10,0.000000052,1000,0.00,
572,1.50,0.70,0.10,0.10,0.10,0.000000052,1000,0.00,
552,1.50,0.50,0.10,0.10,0.10,0.000000052,1000,0.00,
551,1.50,0.50,0.10,0.10,0.10,0.000000052,1000,0.00,
561,1.50,0.60,0.10,0.10,0.10,0.000000052,1000,0.00,
571,1.50,0.70,0.10,0.10,0.10,0.000000052,1000,0.00,
592,1.50,0.90,0.10,0.10,0.10,0.000000052,1000,0.00,
581,1.50,0.80,0.10,0.10,0.10,0.000000052,1000,0.00,
591,1.50,0.90,0.10,0.10,0.10,0.000000052,1000,0.00,
5102,1.50,1.00,0.10,0.10,0.10,0.000000052,1000,0.00,
5101,1.50,1.00,0.10,0.10,0.10,0.000000052,1000,0.00,
5111,1.50,1.10,0.10,0.10,0.10,0.000000052,1000,0.00,
5112,1.50,1.10,0.10,0.10,0.10,0.000000052,1000,0.00,
5121,1.50,1.20,0.10,0.10,0.10,0.000000052,1000,0.00,
5122,1.50,1.20,0.10,0.10,0.10,0.000000052,1000,0.00,
5131,1.50,1.30,0.10,0.10,0.10,0.000000052,1000,0.00,
5141,1.50,1.40,0.10,0.10,0.10,0.000000052,1000,0.00,
5142,1.50,1.40,0.10,0.10,0.10,0.000000052,1000,0.00,
5172,1.50,1.70,0.10,0.10,0.10,0.000000052,1000,0.00,
5151,1.50,1.50,0.10,0.10,0.10,0.000000052,1000,0.00,
5171,1.50,1.70,0.10,0.10,0.10,0.000000052,1000,0.00,
5152,1.50,1.50,0.10,0.10,0.10,0.000000052,1000,0.00,
5161,1.50,1.60,0.10,0.10,0.10,0.000000052,1000,0.00,
5201,1.50,2.00,0.10,0.10,0.10,0.000000052,1000,0.00,
5182,1.50,1.80,0.10,0.10,0.10,0.000000052,1000,0.00,
602,1.40,0.00,0.10,0.10,0.10,0.000000052,1000,0.00,
611,1.40,0.10,0.10,0.10,0.10,0.000000052,1000,0.00,
5191,1.50,1.90,0.10,0.10,0.10,0.000000052,1000,0.00,
612,1.40,0.10,0.10,0.10,0.10,0.000000052,1000,0.00,
622,1.40,0.20,0.10,0.10,0.10,0.000000052,1000,0.00,
641,1.40,0.40,0.10,0.10,0.10,0.000000052,1000,0.00,
642,1.40,0.40,0.10,0.10,0.10,0.000000052,1000,0.00,
651,1.40,0.50,0.10,0.10,0.10,0.000000052,1000,0.00,
661,1.40,0.60,0.10,0.10,0.10,0.000000052,1000,0.00,
652,1.40,0.50,0.10,0.10,0.10,0.000000052,1000,0.00,
671,1.40,0.70,0.10,0.10,0.10,0.000000052,1000,0.00,
5162,1.50,1.60,0.10,0.10,0.10,0.000000052,1000,0.00,
681,1.40,0.80,0.10,0.10,0.10,0.000000052,1000,0.00,
662,1.40,0.60,0.10,0.10,0.10,0.000000052,1000,0.00,
6102,1.40,1.00,0.10,0.10,0.10,0.000000052,1000,0.00,
6101,1.40,1.00,0.10,0.10,0.10,0.000000052,1000,0.00,
6112,1.40,1.10,0.10,0.10,0.10,0.000000052,1000,0.00,
6131,1.40,1.30,0.10,0.10,0.10,0.000000052,1000,0.00,
6111,1.40,1.10,0.10,0.10,0.10,0.000000052,1000,0.00,
6121,1.40,1.20,0.10,0.10,0.10,0.000000052,1000,0.00,
692,1.40,0.90,0.10,0.10,0.10,0.000000052,1000,0.00,
6141,1.40,1.40,0.10,0.10,0.10,0.000000052,1000,0.00,
672,1.40,0.70,0.10,0.10,0.10,0.000000052,1000,0.00,
6172,1.40,1.70,0.10,0.10,0.10,0.000000052,1000,0.00,
6161,1.40,1.60,0.10,0.10,0.10,0.000000052,1000,0.00,
6171,1.40,1.70,0.10,0.10,0.10,0.000000052,1000,0.00,
6151,1.40,1.50,0.10,0.10,0.10,0.000000052,1000,0.00,
6192,1.40,1.90,0.10,0.10,0.10,0.000000052,1000,0.00,
5202,1.50,2.00,0.10,0.10,0.10,0.000000052,1000,0.00,
5192,1.50,1.90,0.10,0.10,0.10,0.000000052,1000,0.00,
6201,1.40,2.00,0.10,0.10,0.10,0.000000052,1000,0.00,
682,1.40,0.80,0.10,0.10,0.10,0.000000052,1000,0.00,
601,1.40,0.00,0.10,0.10,0.10,0.000000052,1000,0.00,
701,1.30,0.00,0.10,0.10,0.10,0.000000052,1000,0.00,
6122,1.40,1.20,0.10,0.10,0.10,0.000000052,1000,0.00,
6182,1.40,1.80,0.10,0.10,0.10,0.000000052,1000,0.00,
621,1.40,0.20,0.10,0.10,0.10,0.000000052,1000,0.00,
712,1.30,0.10,0.10,0.10,0.10,0.000000052,1000,0.00,
631,1.40,0.30,0.10,0.10,0.10,0.000000052,1000,0.00,
711,1.30,0.10,0.10,0.10,0.10,0.000000052,1000,0.00,
6142,1.40,1.40,0.10,0.10,0.10,0.000000052,1000,0.00,
721,1.30,0.20,0.10,0.10,0.10,0.000000052,1000,0.00,
691,1.40,0.90,0.10,0.10,0.10,0.000000052,1000,0.00,
722,1.30,0.20,0.10,0.10,0.10,0.000000052,1000,0.00,
6181,1.40,1.80,0.10,0.10,0.10,0.000000052,1000,0.00,
732,1.30,0.30,0.10,0.10,0.10,0.000000052,1000,0.00,
731,1.30,0.30,0.10,0.10,0.10,0.000000052,1000,0.00,
6152,1.40,1.50,0.10,0.10,0.10,0.000000052,1000,0.00,
742,1.30,0.40,0.10,0.10,0.10,0.000000052,1000,0.00,
741,1.30,0.40,0.10,0.10,0.10,0.000000052,1000,0.00,
6162,1.40,1.60,0.10,0.10,0.10,0.000000052,1000,0.00,
6132,1.40,1.30,0.10,0.10,0.10,0.000000052,1000,0.00,
761,1.30,0.60,0.10,0.10,0.10,0.000000052,1000,0.00,
6202,1.40,2.00,0.10,0.10,0.10,0.000000052,1000,0.00,
751,1.30,0.50,0.10,0.10,0.10,0.000000052,1000,0.00,
762,1.30,0.60,0.10,0.10,0.10,0.000000052,1000,0.00,
