TRIALNO,COST_WEIGHT,RISK_WEIGHT,DISTANCE_WEIGHT,SPEED_WEIGHT,POP_WEIGHT,HEU_WEIGHT,TOTAL_POP,ROAD_DEATH_PROB,
6101,0.10,1.00,0.10,0.10,0.40,0.000000050,1000,0.00,
712,0.10,0.10,0.10,0.10,0.30,0.000000050,1000,0.00,
6102,0.10,1.00,0.10,0.10,0.40,0.000000050,1000,0.00,
801,0.10,0.00,0.10,0.10,0.20,0.000000050,1000,0.00,
811,0.10,0.10,0.10,0.10,0.20,0.000000050,1000,0.00,
731,0.10,0.30,0.10,0.10,0.30,0.000000050,1000,0.00,
772,0.10,0.70,0.10,0.10,0.30,0.000000050,1000,0.00,
782,0.10,0.80,0.10,0.10,0.30,0.000000050,1000,0.00,
792,0.10,0.90,0.10,0.10,0.30,0.000000050,1000,0.00,
762,0.10,0.60,0.10,0.10,0.30,0.000000050,1000,0.00,
832,0.10,0.30,0.10,0.10,0.20,0.000000050,1000,0.00,
851,0.10,0.50,0.10,0.10,0.20,0.000000050,1000,0.00,
852,0.10,0.50,0.10,0.10,0.20,0.000000050,1000,0.00,
861,0.10,0.60,0.10,0.10,0.20,0.000000050,1000,0.00,
831,0.10,0.30,0.10,0.10,0.20,0.000000050,1000,0.00,
841,0.10,0.40,0.10,0.10,0.20,0.000000050,1000,0.00,
821,0.10,0.20,0.10,0.10,0.20,0.000000050,1000,0.00,
872,0.10,0.70,0.10,0.10,0.20,0.000000050,1000,0.00,
891,0.10,0.90,0.10,0.10,0.20,0.000000050,1000,0.00,
871,0.10,0.70,0.10,0.10,0.20,0.000000050,1000,0.00,
881,0.10,0.80,0.10,0.10,0.20,0.000000050,1000,0.00,
761,0.10,0.60,0.10,0.10,0.30,0.000000050,1000,0.00,
741,0.10,0.40,0.10,0.10,0.30,0.000000050,1000,0.00,
8101,0.10,1.00,0.10,0.10,0.20,0.000000050,1000,0.00,
791,0.10,0.90,0.10,0.10,0.30,0.000000050,1000,0.00,
802,0.10,0.00,0.10,0.10,0.20,0.000000050,1000,0.00,
902,0.10,0.00,0.10,0.10,0.10,0.000000050,1000,0.00,
7101,0.10,1.00,0.10,0.10,0.30,0.000000050,1000,0.00,
882,0.10,0.80,0.10,0.10,0.20,0.000000050,1000,0.00,
922,0.10,0.20,0.10,0.10,0.10,0.000000050,1000,0.00,
812,0.10,0.10,0.10,0.10,0.20,0.000000050,1000,0.00,
912,0.10,0.10,0.10,0.10,0.10,0.000000050,1000,0.00,
932,0.10,0.30,0.10,0.10,0.10,0.000000050,1000,0.00,
942,0.10,0.40,0.10,0.10,0.10,0.000000050,1000,0.00,
842,0.10,0.40,0.10,0.10,0.20,0.000000050,1000,0.00,
952,0.10,0.50,0.10,0.10,0.10,0.000000050,1000,0.00,
941,0.10,0.40,0.10,0.10,0.10,0.000000050,1000,0.00,
862,0.10,0.60,0.10,0.10,0.20,0.000000050,1000,0.00,
962,0.10,0.60,0.10,0.10,0.10,0.000000050,1000,0.00,
961,0.10,0.60,0.10,0.10,0.10,0.000000050,1000,0.00,
981,0.10,0.80,0.10,0.10,0.10,0.000000050,1000,0.00,
1001,0.10,0.00,0.10,0.10,0.00,0.000000050,1000,0.00,
971,0.10,0.70,0.10,0.10,0.10,0.000000050,1000,0.00,
9101,0.10,1.00,0.10,0.10,0.10,0.000000050,1000,0.00,
991,0.10,0.90,0.10,0.10,0.10,0.000000050,1000,0.00,
982,0.10,0.80,0.10,0.10,0.10,0.000000050,1000,0.00,
992,0.10,0.90,0.10,0.10,0.10,0.000000050,1000,0.00,
972,0.10,0.70,0.10,0.10,0.10,0.000000050,1000,0.00,
771,0.10,0.70,0.10,0.10,0.30,0.000000050,1000,0.00,
822,0.10,0.20,0.10,0.10,0.20,0.000000050,1000,0.00,
901,0.10,0.00,0.10,0.10,0.10,0.000000050,1000,0.00,
931,0.10,0.30,0.10,0.10,0.10,0.000000050,1000,0.00,
911,0.10,0.10,0.10,0.10,0.10,0.000000050,1000,0.00,
8102,0.10,1.00,0.10,0.10,0.20,0.000000050,1000,0.00,
1011,0.10,0.10,0.10,0.10,0.00,0.000000050,1000,0.00,
921,0.10,0.20,0.10,0.10,0.10,0.000000050,1000,0.00,
